Distance,Press_time
[532.24],[713.0]
[322.67],[450.0]
[236.65],[323.0]
[494.49],[697.0]
[286.0],[380.0]
[567.22],[757.0]
[284.54],[385.0]
[609.68],[819.0]
[354.43],[495.0]
[360.26],[493.0]
[505.82],[704.0]
[532.24],[707.0]
[611.14],[837.0]
[592.27],[796.0]
[452.43],[626.0]
[362.22],[502.0]
[520.21],[689.0]
[455.63],[615.0]
[508.05],[704.0]
[532.74],[716.0]
[256.76],[362.0]
[491.2],[668.0]
[351.77],[485.0]
[439.74],[596.0]
[526.34],[716.0]
[512.15],[710.0]
[425.7],[596.0]
[271.52],[390.0]
[394.12],[550.0]
[507.19],[706.0]
[376.27],[518.0]
[373.73],[515.0]
[257.6],[377.0]
[506.69],[704.0]
[499.12],[691.0]
[514.67],[708.0]
[492.22],[660.0]
[322.26],[455.0]
[436.19],[607.0]
[491.06],[674.0]
[352.14],[481.0]
[532.74],[727.0]
[643.38],[866.0]
[320.3],[440.0]
[481.63],[645.0]
[417.17],[569.0]
[505.82],[707.0]
[547.62],[747.0]
[508.55],[708.0]
[652.8],[893.0]
[385.39],[539.0]
[643.74],[855.0]
[293.78],[413.0]
[477.17],[668.0]
[494.66],[708.0]
[495.52],[709.0]
[291.65],[428.0]
[509.42],[710.0]
[657.27],[881.0]
[582.8],[797.0]
[534.97],[710.0]
[348.53],[485.0]
[595.74],[806.0]
[439.83],[605.0]
[513.02],[709.0]
[422.91],[580.0]
[586.44],[768.0]
[509.42],[709.0]
[423.33],[590.0]
[505.82],[709.0]
[476.47],[666.0]
[471.3],[646.0]
[511.65],[709.0]
[559.68],[795.0]
[508.05],[710.0]
[636.0],[854.0]
[574.42],[761.0]
[247.83],[344.0]
[652.74],[889.0]
[493.66],[696.0]
[533.6],[710.0]
[418.44],[575.0]
[436.79],[624.0]
[255.64],[375.0]
[644.84],[892.0]
[302.77],[422.0]
[510.78],[711.0]
[525.08],[711.0]
[319.88],[470.0]
[506.76],[700.0]
[526.91],[711.0]
[646.97],[892.0]
[525.56],[729.0]
[391.23],[559.0]
[534.47],[711.0]
[451.25],[631.0]
[510.78],[711.0]
[512.58],[711.0]
[367.53],[521.0]
[657.94],[885.0]
[605.83],[820.0]
[477.44],[637.0]
[295.58],[412.0]
[545.01],[738.0]
[554.98],[765.0]
[465.66],[647.0]
